"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
3;10;0,2;"perverso";4;0,0628;0,6506
3;10;0,2;"t_test";16;0,0484;0,6571
3;10;0,2;"wilcoxon";16;0,0695;0,6571
3;10;0,2;"perverso";16;0,0624;0,6571
3;10;0,5;"t_test";1;0,2395;0,6585
3;10;0,5;"wilcoxon";1;0,2696;0,6585
3;10;0,5;"perverso";1;0,2734;0,6585
3;10;0,5;"t_test";4;0,1273;0,6581
3;10;0,5;"wilcoxon";4;0,1524;0,6581
3;10;0,5;"perverso";4;0,147;0,6581
3;10;0,5;"t_test";16;0,0617;0,6569
3;10;0,5;"wilcoxon";16;0,0942;0,6569
3;10;0,5;"perverso";16;0,0811;0,6569
3;20;0;"t_test";1;0,0448;0,4415
3;20;0;"wilcoxon";1;0,0459;0,4415
3;20;0;"perverso";1;0,0472;0,4415
3;20;0;"t_test";4;0,0454;0,4384
3;20;0;"wilcoxon";4;0,0546;0,4384
3;20;0;"perverso";4;0,0544;0,4384
3;20;0;"t_test";16;0,0467;0,4324
3;20;0;"wilcoxon";16;0,075;0,4324
3;20;0;"perverso";16;0,0697;0,4324
3;20;0,2;"t_test";1;0,1082;0,4383
3;20;0,2;"wilcoxon";1;0,1365;0,4383
3;20;0,2;"perverso";1;0,1336;0,4383
3;20;0,2;"t_test";4;0,0646;0,4393
3;20;0,2;"wilcoxon";4;0,0865;0,4393
3;20;0,2;"perverso";4;0,083;0,4393
3;20;0,2;"t_test";16;0,0531;0,4364
3;20;0,2;"wilcoxon";16;0,0875;0,4364
3;20;0,2;"perverso";16;0,0772;0,4364
3;20;0,5;"t_test";1;0,4166;0,4359
3;20;0,5;"wilcoxon";1;0,533;0,4359
3;20;0,5;"perverso";1;0,5173;0,4359
3;20;0,5;"t_test";4;0,2073;0,445
3;20;0,5;"wilcoxon";4;0,2743;0,445
3;20;0,5;"perverso";4;0,2615;0,445
3;20;0,5;"t_test";16;0,0956;0,4333
3;20;0,5;"wilcoxon";16;0,148;0,4333
3;20;0,5;"perverso";16;0,1353;0,4333
3;50;0;"t_test";1;0,047;0,1313
3;50;0;"wilcoxon";1;0,0454;0,1313
